,Autor,Biografia,Novelas,link,Foto
0,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Plantão de Polícia,http://teledramaturgia.com.br/plantao-de-policia/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
1,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Lampião e Maria Bonita,http://teledramaturgia.com.br/lampiao-e-maria-bonita/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
2,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Bandidos da Falange,http://teledramaturgia.com.br/bandidos-da-falange/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
3,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Padre Cícero,http://teledramaturgia.com.br/padre-cicero/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
4,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Partido Alto,http://teledramaturgia.com.br/partido-alto/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
5,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Tenda dos Milagres,http://teledramaturgia.com.br/tenda-dos-milagres/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
6,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Roque Santeiro (1985),http://teledramaturgia.com.br/roque-santeiro-1985/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
7,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",O Outro,http://teledramaturgia.com.br/o-outro/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
8,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Vale Tudo,http://teledramaturgia.com.br/vale-tudo/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
9,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Tieta,http://teledramaturgia.com.br/tieta/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
