,Indice,Ano,Novela,Média,Emissora,Horário,ID_novel
1,1,2021,O Cravo e a  Rosa,140,GLOBO ,EDIÇÃO ESPECIAL,ocravoearosa2021
2,2,2022,Chocolate  com Pimenta,-,GLOBO ,EDIÇÃO ESPECIAL,chocolatecompimenta2022
4,1,1980,Dona  Xepa,-,GLOBO ,VALE A PENA VER DE NOVO,donaxepa1980
5,2,1980,A Sucessora,195,GLOBO ,VALE A PENA VER DE NOVO,asucessora1980
6,3,1981,Te Contei?,158,GLOBO ,VALE A PENA VER DE NOVO,tecontei?1981
7,4,1981,Cabocla,191,GLOBO ,VALE A PENA VER DE NOVO,cabocla1981
8,5,1982,Marron  Glacê,220,GLOBO ,VALE A PENA VER DE NOVO,marronglace1982
9,6,1982,As Três  Marias,139,GLOBO ,VALE A PENA VER DE NOVO,astresmarias1982
10,7,1982,A Moreninha,158,GLOBO ,VALE A PENA VER DE NOVO,amoreninha1982
11,8,1983,Plumas e  Paetês,198,GLOBO ,VALE A PENA VER DE NOVO,plumasepaetes1983
12,9,1983,Pecado  Rasgado,142,GLOBO ,VALE A PENA VER DE NOVO,pecadorasgado1983
13,10,1984,Água Viva,189,GLOBO ,VALE A PENA VER DE NOVO,aguaviva1984
14,11,1984,Final Feliz,222,GLOBO ,VALE A PENA VER DE NOVO,finalfeliz1984
15,12,1985,Elas por  Elas,180,GLOBO ,VALE A PENA VER DE NOVO,elasporelas1985
16,13,1985,Jogo da  Vida,165,GLOBO ,VALE A PENA VER DE NOVO,jogodavida1985
17,14,1986,Feijão  Maravilha,155,GLOBO ,VALE A PENA VER DE NOVO,feijaomaravilha1986
18,15,1986,Paraíso,220,GLOBO ,VALE A PENA VER DE NOVO,paraiso1986
19,16,1986,Livre para  Voar,213,GLOBO ,VALE A PENA VER DE NOVO,livreparavoar1986
20,17,1987,Vereda  Tropical,243,GLOBO ,VALE A PENA VER DE NOVO,veredatropical1987
21,18,1987,Amor com  Amor se Paga,290,GLOBO ,VALE A PENA VER DE NOVO,amorcomamorsepaga1987
22,19,1988,Ti Ti Ti,293,GLOBO ,VALE A PENA VER DE NOVO,tititi1988
23,20,1988,Gabriela,225,GLOBO ,VALE A PENA VER DE NOVO,gabriela1988
24,21,1989,A Gata  Comeu,327,GLOBO ,VALE A PENA VER DE NOVO,agatacomeu1989
25,22,1989,Brega &  Chique,241,GLOBO ,VALE A PENA VER DE NOVO,bregaechique1989
26,23,,,,GLOBO ,VALE A PENA VER DE NOVO,
28,25,1990,"Pão Pão,  Beijo Beijo",261,GLOBO ,VALE A PENA VER DE NOVO,paopaobeijobeijo1990
29,26,1990,Roda de  Fogo,170,GLOBO ,VALE A PENA VER DE NOVO,rodadefogo1990
30,27,1990,Sassaricando,186,GLOBO ,VALE A PENA VER DE NOVO,sassaricando1990
31,28,1991,Top Model,231,GLOBO ,VALE A PENA VER DE NOVO,topmodel1991
32,29,1991,Cambalacho,217,GLOBO ,VALE A PENA VER DE NOVO,cambalacho1991
33,30,1991,Fera  Radical,262,GLOBO ,VALE A PENA VER DE NOVO,feraradical1991
34,31,1992,Vale Tudo,286,GLOBO ,VALE A PENA VER DE NOVO,valetudo1992
35,32,1992,Bebê a  Bordo,245,GLOBO ,VALE A PENA VER DE NOVO,bebeabordo1992
36,33,1993,Sinhá Moça,237,GLOBO ,VALE A PENA VER DE NOVO,sinhamoca1993
37,34,1993,Barriga de  Aluguel,219,GLOBO ,VALE A PENA VER DE NOVO,barrigadealuguel1993
38,35,1993,Direito de  Amar,217,GLOBO ,VALE A PENA VER DE NOVO,direitodeamar1993
39,36,1994,Rainha da  Sucata,265,GLOBO ,VALE A PENA VER DE NOVO,rainhadasucata1994
40,37,1994,Tieta,278,GLOBO ,VALE A PENA VER DE NOVO,tieta1994
41,38,1995,Pedra sobre  Pedra,215,GLOBO ,VALE A PENA VER DE NOVO,pedrasobrepedra1995
42,39,1995,Renascer,233,GLOBO ,VALE A PENA VER DE NOVO,renascer1995
43,40,1996,Despedida  de Solteiro,221,GLOBO ,VALE A PENA VER DE NOVO,despedidadesolteiro1996
44,41,1996,"Meu Bem,  Meu Mal",201,GLOBO ,VALE A PENA VER DE NOVO,meubemmeumal1996
45,42,1996,Mulheres de  Areia,283,GLOBO ,VALE A PENA VER DE NOVO,mulheresdeareia1996
46,43,1997,A Viagem,250,GLOBO ,VALE A PENA VER DE NOVO,aviagem1997
47,44,1997,Fera Ferida,200,GLOBO ,VALE A PENA VER DE NOVO,feraferida1997
48,45,1998,Felicidade,212,GLOBO ,VALE A PENA VER DE NOVO,felicidade1998
49,46,1998,O Salvador  da Pátria,189,GLOBO ,VALE A PENA VER DE NOVO,osalvadordapatria1998
50,47,1998,Quatro por  Quatro,206,GLOBO ,VALE A PENA VER DE NOVO,quatroporquatro1998
51,48,1999,O Rei do  Gado,233,GLOBO ,VALE A PENA VER DE NOVO,oreidogado1999
52,49,1999,A Indomada,182,GLOBO ,VALE A PENA VER DE NOVO,aindomada1999
53,50,,,,GLOBO ,VALE A PENA VER DE NOVO,
55,52,2000,Tropicaliente,147,GLOBO ,VALE A PENA VER DE NOVO,tropicaliente2000
56,53,2000,A Próxima  Vítima,160,GLOBO ,VALE A PENA VER DE NOVO,aproximavitima2000
57,54,2000,Roque  Santeiro,152,GLOBO ,VALE A PENA VER DE NOVO,roquesanteiro2000
58,55,2001,Você Decide,111,GLOBO ,VALE A PENA VER DE NOVO,vocedecide2001
59,56,2001,A Gata  Comeu,159,GLOBO ,VALE A PENA VER DE NOVO,agatacomeu2001
60,57,2001,História de  Amor,208,GLOBO ,VALE A PENA VER DE NOVO,historiadeamor2001
61,58,2002,Por Amor,204,GLOBO ,VALE A PENA VER DE NOVO,poramor2002
62,59,2003,O Cravo e a  Rosa,235,GLOBO ,VALE A PENA VER DE NOVO,ocravoearosa2003
63,60,2003,Anjo Mau,258,GLOBO ,VALE A PENA VER DE NOVO,anjomau2003
64,61,2004,Corpo  Dourado,212,GLOBO ,VALE A PENA VER DE NOVO,corpodourado2004
65,62,2004,Terra  Nostra,179,GLOBO ,VALE A PENA VER DE NOVO,terranostra2004
66,63,2004,Deus nos  Acuda,144,GLOBO ,VALE A PENA VER DE NOVO,deusnosacuda2004
67,64,2005,Laços de  Família,216,GLOBO ,VALE A PENA VER DE NOVO,lacosdefamilia2005
68,65,2005,Força de um  Desejo,154,GLOBO ,VALE A PENA VER DE NOVO,forcadeumdesejo2005
69,66,2006,A Viagem,215,GLOBO ,VALE A PENA VER DE NOVO,aviagem2006
70,67,2006,Chocolate  com Pimenta,209,GLOBO ,VALE A PENA VER DE NOVO,chocolatecompimenta2006
71,68,2007,Era Uma  Vez...,183,GLOBO ,VALE A PENA VER DE NOVO,eraumavez2007
72,69,2007,Da Cor do  Pecado,194,GLOBO ,VALE A PENA VER DE NOVO,dacordopecado2007
73,70,2007,Coração de  Estudante,172,GLOBO ,VALE A PENA VER DE NOVO,coracaodeestudante2007
74,71,2008,Cabocla,169,GLOBO ,VALE A PENA VER DE NOVO,cabocla2008
75,72,2008,Mulheres  Apaixonadas,179,GLOBO ,VALE A PENA VER DE NOVO,mulheresapaixonadas2008
76,73,2009,Senhora do  Destino,212,GLOBO ,VALE A PENA VER DE NOVO,senhoradodestino2009
77,74,2009,Alma Gêmea,198,GLOBO ,VALE A PENA VER DE NOVO,almagemea2009
78,75,,,,GLOBO ,VALE A PENA VER DE NOVO,
80,77,2010,Sinhá Moça,152,GLOBO ,VALE A PENA VER DE NOVO,sinhamoca2010
81,78,2010,Sete  Pecados,128,GLOBO ,VALE A PENA VER DE NOVO,setepecados2010
82,79,2011,O Clone,169,GLOBO ,VALE A PENA VER DE NOVO,oclone2011
83,80,2011,Mulheres de  Areia,156,GLOBO ,VALE A PENA VER DE NOVO,mulheresdeareia2011
84,81,2012,Chocolate  com Pimenta,149,GLOBO ,VALE A PENA VER DE NOVO,chocolatecompimenta2012
85,82,2012,Da Cor do  Pecado,135,GLOBO ,VALE A PENA VER DE NOVO,dacordopecado2012
86,83,2013,O Profeta,118,GLOBO ,VALE A PENA VER DE NOVO,oprofeta2013
87,84,2013,O Cravo e a  Rosa,138,GLOBO ,VALE A PENA VER DE NOVO,ocravoearosa2013
88,85,2014,Caras &  Bocas,142,GLOBO ,VALE A PENA VER DE NOVO,carasebocas2014
89,86,2014,Cobras  & Lagartos,125,GLOBO ,VALE A PENA VER DE NOVO,cobraselagartos2014
90,87,2015,O Rei do  Gado,174,GLOBO ,VALE A PENA VER DE NOVO,oreidogado2015
91,88,2015,Caminho das  Índias,142,GLOBO ,VALE A PENA VER DE NOVO,caminhodasindias2015
92,89,2016,Anjo Mau,145,GLOBO ,VALE A PENA VER DE NOVO,anjomau2016
93,90,2016,Cheias de  Charme,167,GLOBO ,VALE A PENA VER DE NOVO,cheiasdecharme2016
94,91,2017,Senhora do  Destino,180,GLOBO ,VALE A PENA VER DE NOVO,senhoradodestino2017
