,0,1,2,Emissora,Horario
0,Ano,Novela,Média,GLOBO ,EDIÇÃO ESPECIAL
1,2021,O Cravo e a  Rosa,140,GLOBO ,EDIÇÃO ESPECIAL
2,2022,Chocolate  com Pimenta,-,GLOBO ,EDIÇÃO ESPECIAL
0,Ano,Novela,Média,GLOBO ,VALE A PENA VER DE NOVO
1,1980,Dona  Xepa,-,GLOBO ,VALE A PENA VER DE NOVO
2,1980,A Sucessora,195,GLOBO ,VALE A PENA VER DE NOVO
3,1981,Te Contei?,158,GLOBO ,VALE A PENA VER DE NOVO
4,1981,Cabocla,191,GLOBO ,VALE A PENA VER DE NOVO
5,1982,Marron  Glacê,220,GLOBO ,VALE A PENA VER DE NOVO
6,1982,As Três  Marias,139,GLOBO ,VALE A PENA VER DE NOVO
7,1982,A Moreninha,158,GLOBO ,VALE A PENA VER DE NOVO
8,1983,Plumas e  Paetês,198,GLOBO ,VALE A PENA VER DE NOVO
9,1983,Pecado  Rasgado,142,GLOBO ,VALE A PENA VER DE NOVO
10,1984,Água Viva,189,GLOBO ,VALE A PENA VER DE NOVO
11,1984,Final Feliz,222,GLOBO ,VALE A PENA VER DE NOVO
12,1985,Elas por  Elas,180,GLOBO ,VALE A PENA VER DE NOVO
13,1985,Jogo da  Vida,165,GLOBO ,VALE A PENA VER DE NOVO
14,1986,Feijão  Maravilha,155,GLOBO ,VALE A PENA VER DE NOVO
15,1986,Paraíso,220,GLOBO ,VALE A PENA VER DE NOVO
16,1986,Livre para  Voar,213,GLOBO ,VALE A PENA VER DE NOVO
17,1987,Vereda  Tropical,243,GLOBO ,VALE A PENA VER DE NOVO
18,1987,Amor com  Amor se Paga,290,GLOBO ,VALE A PENA VER DE NOVO
19,1988,Ti Ti Ti,293,GLOBO ,VALE A PENA VER DE NOVO
20,1988,Gabriela,225,GLOBO ,VALE A PENA VER DE NOVO
21,1989,A Gata  Comeu,327,GLOBO ,VALE A PENA VER DE NOVO
22,1989,Brega &  Chique,241,GLOBO ,VALE A PENA VER DE NOVO
23,,,,GLOBO ,VALE A PENA VER DE NOVO
24,Ano,Novela,Média,GLOBO ,VALE A PENA VER DE NOVO
